text,xmin,ymin,xmax,ymax
Invoice,8.10326412320137,3.198285773396492,16.168362647294998,4.419183451682329
no:,16.947971284389496,3.475833311676979,20.353887602686882,4.406348429620266
65321852,21.230977773666382,3.2349590212106705,32.32693672180176,4.393867775797844
Date,8.136434108018875,6.1337582767009735,12.439611926674843,7.238786946982145
of,13.047778606414795,6.1141446232795715,14.955979771912098,7.252045627683401
issue:,15.489138662815094,6.115923449397087,20.64422480762005,7.234224397689104
04/11/2021,48.5180139541626,6.1080452054739,59.05442014336586,7.307894062250853
Seller:,8.10660496354103,19.02180314064026,15.298274159431458,20.245294459164143
Client:,49.965304136276245,19.045551121234894,57.25844278931618,20.2171110548079
"Kaufman,",8.542052656412125,21.729694306850433,16.465746611356735,22.901281341910362
Cooper,17.10910201072693,21.75416201353073,23.17543551325798,23.006930574774742
and,23.660577833652496,21.760019659996033,26.746222376823425,22.79143361374736
Young,27.28447914123535,21.761080622673035,32.5215857475996,23.01411936059594
Wells-Carlson,50.36940574645996,21.745215356349945,61.85961812734604,22.797688469290733
33451,8.603376895189285,23.278437554836273,13.742144778370857,24.308538157492876
Johnson,14.190934598445892,23.275457322597504,20.95547318458557,24.52603578567505
Lake,21.598874032497406,23.27629178762436,25.48549547791481,24.295480269938707
148,50.54222345352173,23.282256722450256,53.58073152601719,24.300935585051775
Carroll,54.21956777572632,23.260881006717682,59.66486185789108,24.289576429873705
Village,60.17628312110901,23.250378668308258,65.90345352888107,24.51975718140602
Suite,66.45857691764832,23.264892399311066,70.72634547948837,24.31014133617282
393,71.3108479976654,23.28070104122162,74.41990412771702,24.31396944448352
New,8.5922971367836,24.802321195602417,12.174317613244057,25.79816160723567
"Ann,",12.679222226142883,24.80374127626419,16.437463462352753,25.918442383408546
NE,17.124737799167633,24.7897669672966,19.393401592969894,25.799096003174782
54138,19.957830011844635,24.786508083343506,25.203993171453476,25.81004211679101
South,50.47236084938049,24.791331589221954,55.248622596263885,25.799857825040817
"Allisonstad,",55.81490397453308,24.78281259536743,65.45589566230774,25.906805228441954
